Concurso;Data_Sorteio;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;Ganhou
1;29/09/2003;2.0;3.0;5.0;6.0;9.0;10.0;11.0;13.0;14.0;16.0;18.0;20.0;23.0;24.0;25.0;5.0
;BA;;;;;;;;;;;;;;;;
2;06/10/2003;1.0;4.0;5.0;6.0;7.0;9.0;11.0;12.0;13.0;15.0;16.0;19.0;20.0;23.0;24.0;1.0
3;13/10/2003;1.0;4.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;14.0;16.0;17.0;20.0;23.0;24.0;2.0
4;20/10/2003;1.0;2.0;4.0;5.0;8.0;10.0;12.0;13.0;16.0;17.0;18.0;19.0;23.0;24.0;25.0;1.0
5;27/10/2003;1.0;2.0;4.0;8.0;9.0;11.0;12.0;13.0;15.0;16.0;19.0;20.0;23.0;24.0;25.0;2.0
6;03/11/2003;1.0;2.0;4.0;5.0;6.0;7.0;10.0;12.0;15.0;16.0;17.0;19.0;21.0;23.0;25.0;2.0
7;10/11/2003;1.0;4.0;7.0;8.0;10.0;12.0;14.0;15.0;16.0;18.0;19.0;21.0;22.0;23.0;25.0;9.0
8;17/11/2003;1.0;5.0;6.0;8.0;9.0;10.0;13.0;15.0;16.0;17.0;18.0;19.0;20.0;22.0;25.0;1.0
9;24/11/2003;3.0;4.0;5.0;9.0;10.0;11.0;13.0;15.0;16.0;17.0;19.0;20.0;21.0;24.0;25.0;3.0
10;01/12/2003;2.0;3.0;4.0;5.0;6.0;8.0;9.0;10.0;11.0;12.0;14.0;19.0;20.0;23.0;24.0;0.0
11;08/12/2003;2.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;16.0;19.0;20.0;22.0;23.0;24.0;25.0;0.0
12;15/12/2003;1.0;2.0;4.0;5.0;7.0;8.0;9.0;10.0;11.0;12.0;14.0;16.0;17.0;24.0;25.0;1.0
13;22/12/2003;3.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;13.0;14.0;15.0;16.0;17.0;19.0;23.0;3.0
14;29/12/2003;1.0;2.0;5.0;6.0;7.0;9.0;13.0;14.0;15.0;18.0;19.0;20.0;21.0;23.0;25.0;3.0
15;05/01/2004;1.0;2.0;4.0;6.0;8.0;10.0;12.0;15.0;16.0;18.0;19.0;21.0;23.0;24.0;25.0;22.0
16;12/01/2004;2.0;5.0;6.0;7.0;8.0;10.0;12.0;13.0;15.0;17.0;19.0;21.0;23.0;24.0;25.0;9.0
17;19/01/2004;1.0;2.0;3.0;5.0;6.0;7.0;9.0;13.0;14.0;16.0;17.0;18.0;19.0;20.0;21.0;1.0
18;26/01/2004;2.0;6.0;7.0;8.0;10.0;11.0;14.0;15.0;17.0;18.0;19.0;20.0;22.0;23.0;24.0;3.0
19;02/02/2004;2.0;5.0;6.0;7.0;8.0;10.0;11.0;13.0;14.0;15.0;16.0;17.0;20.0;23.0;24.0;10.0
20;09/02/2004;3.0;4.0;6.0;7.0;8.0;9.0;10.0;14.0;16.0;17.0;18.0;19.0;20.0;23.0;24.0;9.0
21;16/02/2004;1.0;2.0;4.0;5.0;8.0;11.0;14.0;16.0;18.0;19.0;20.0;22.0;23.0;24.0;25.0;3.0
22;25/02/2004;1.0;2.0;3.0;4.0;5.0;6.0;7.0;9.0;10.0;12.0;13.0;14.0;15.0;22.0;25.0;1.0
23;01/03/2004;1.0;3.0;4.0;5.0;6.0;8.0;10.0;11.0;12.0;14.0;16.0;17.0;18.0;19.0;20.0;1.0
24;08/03/2004;1.0;2.0;3.0;5.0;7.0;10.0;11.0;14.0;17.0;19.0;20.0;21.0;23.0;24.0;25.0;2.0
25;15/03/2004;1.0;2.0;3.0;4.0;5.0;6.0;7.0;9.0;13.0;14.0;16.0;20.0;22.0;23.0;24.0;0.0
26;22/03/2004;5.0;7.0;8.0;9.0;10.0;11.0;13.0;14.0;16.0;17.0;19.0;20.0;21.0;22.0;23.0;3.0
27;29/03/2004;3.0;6.0;8.0;10.0;11.0;12.0;13.0;14.0;15.0;18.0;20.0;21.0;22.0;24.0;25.0;2.0
28;05/04/2004;1.0;3.0;7.0;9.0;10.0;11.0;12.0;13.0;14.0;16.0;17.0;18.0;19.0;20.0;21.0;2.0
29;12/04/2004;1.0;4.0;5.0;6.0;8.0;9.0;13.0;14.0;16.0;17.0;19.0;20.0;21.0;22.0;24.0;5.0
30;19/04/2004;1.0;2.0;3.0;4.0;6.0;7.0;8.0;11.0;14.0;17.0;19.0;20.0;21.0;22.0;23.0;2.0
31;26/04/2004;1.0;2.0;3.0;4.0;9.0;13.0;14.0;15.0;17.0;19.0;20.0;21.0;22.0;24.0;25.0;3.0
32;03/05/2004;1.0;2.0;4.0;6.0;7.0;9.0;10.0;11.0;14.0;15.0;16.0;17.0;20.0;22.0;23.0;2.0
33;10/05/2004;1.0;2.0;5.0;7.0;8.0;10.0;11.0;12.0;14.0;16.0;19.0;20.0;21.0;23.0;24.0;9.0
34;17/05/2004;1.0;2.0;4.0;7.0;8.0;9.0;10.0;11.0;15.0;16.0;18.0;19.0;20.0;21.0;23.0;0.0
